"","university","course_catalog","course_number","title","max_credits","desc"
"1","cnu","2025-2026","ANTH325","Food and Society","3","This course is designed to develop an appreciation for the role of food in human societies. The course will survey how food has been a central pawn in the political strategies of states and households; marks social differences, boundaries and bonds; and is an endless enactment of gender, family and community relationships. Students will explore food consumption, production and distribution both locally and globally and will use food as a lens to understand cultural relationships, social inequalities and environmental impacts of agriculture, food production and food waste."
"2","cnu","2025-2026","ANTH331","Environment, Culture and Society","3","An investigation of the intersection of human behavior, social organization, and the biotic communities which provide the conditions for human survival. The focus of the course involves theoretical models developed by social scientists to account for issues of adaptability, sustainability and environmental degradation in relation to cultural practices and social norms of behavior. Additionally, the class will consider the methodological challenges in creating reliable knowledge of socio-ecological systems. Topics may include cultural ecology, social organization, conservation, sustainability, mode of production, mode of subsistence, stratification, indigeneity, ecosystems, pinnacle species, identity, landscape, political ecology, place vs. space, environmental racism, development and neo-totemism."
"3","cnu","2025-2026","BIOL212","Principles of Biology II","3","Principles of Biology II is the second course in the three course sequence for students seeking a degree in biology.  This course introduces evolutionary and ecological topics as well as provides an overview to the diversity of life."
"4","cnu","2025-2026","BIOL212L","Principles of Biology II Laboratory","1","Principles of Biology II Lab is the laboratory component of the second course in the three course sequence for students seeking a degree in biology. This course covers evolutionary,
diversity and ecological topics by way of in-class and in-the-field exercises. Students should expect to be in the field for some lab activities. "
"5","cnu","2025-2026","CHEM103","Introductory Chemistry I","3","The fundamentals of general and inorganic chemistry."
"6","cnu","2025-2026","CHEM104","Introductory Chemistry II","3","The fundamentals of organic and biochemistry."
"7","cnu","2025-2026","CHEM104L","Introductory Chemistry Laboratory II","1","An introduction to the experimental techniques and methods of organic chemistry. Lab fees apply each term."
"8","cnu","2025-2026","CHEM111L","Environmental Studies Chemistry Lab","1","The first semester of the general chemistry laboratory sequence introduces students to various chemical lab techniques and provides hands-on experience with the chemical concepts covered in the general chemistry lecture. This course also focuses on the development of scientific writing skills in the form of formal lab reports. "
"9","cnu","2025-2026","CHEM121","General Chemistry I","3","The first half of the general chemistry sequence covers topics in atoms, stoichiometry, gases, thermochemistry, electronic structure, periodic properties, bonding and molecular geometry. Emphasis is placed on the development of problem-solving skills. Strong algebra skills recommended."
"10","cnu","2025-2026","ECON203","Environmental Economic Literacy for the Citizen","3","This course provides students with an introduction to environmental issues through an economic lens. The rational, economic analytical approach is introduced and the basic principles of economics are applied to issues such as energy markets, air and water pollution, sustainability, population and environment, waste and recycling and dealing with climate change. "
